英文,中文
stage,阶段/演出/展现/举行，筹划
alter,改变/变更，改建(房屋)，变老
distinct,明显，清楚的，卓越的/有区别的
affinity,密切关系，亲缘性/姻亲，吸引力(男女间)
content,内容/容量，满足/满意/愿意的，目录
destroy ,杀死，破坏/摧毁/消灭，歼灭(敌人)，使失败
scheduler,调度程序，日程安排程序
notification,通知/通知单，布告，公布
concurrency,协力/协助/相助/共同努力，同意，一致
worth,相当于___价值的，值得___的，价值，财产（值得做某事：be worth doing sth）
tourist,旅游者，观光者
scientist,科学家
activity,行动，活动，活跃，活力
captain,船长，机长，上尉，队长，领队
third,第3，1/3
thirteenth,第13，1/13
pupil,学生（小)，瞳孔
fantastic,极好/级出色的，不实际的，奇异/古怪的
dare,敢，敢做，竟敢
treat,对待/招待/处理，治疗/医疗
hobby,业余爱好，嗜好/兴趣
dish,盘子/餐具，盛...于盘中，挫败，毁掉
effort,工作/努力，尝试，成就/杰作
grammar,语法，基本原理
pancake,烙饼/薄煎饼/粉饼，平坠/平坠著陆，使平展
essay,散文;随笔，杂记文，尝试/企图/试验
poster,招贴画，海报，招贴，公告，张贴者
elder,长者，长辈/元老，比…年长的人，资格老的/老练的
stomach,胃/胃口;，肚子/腹部;，欲望/志趣，消化/忍受
bush,灌木丛，粗鲁的，粗糙但实用的
iron,熨烫/熨衣，顽强/残酷的
extra,额外的，补充的，附加的，特别的
cigarette,香烟
thirtieth,第30，1/30
anymore,现在，不再，目前，今后
shake,"摇动,，使震动,，动摇，发抖，握手"
shade,荫凉处/阴暗，遮蔽，使渐变/逐渐变化
eastern,东方的，东部的，朝东的
tutor,导师，家教，任大学导师，任课
tutorial,导师的，私人教师的，辅导的，使用说明
worse,更坏/恶化的，严重的，更厉害的
topic,主题/标题，话题/论题
negative,消极的，否认的，负数的，反抗性/拒绝性的
lung,肺，呼吸器官
around,大约，到处/四处/在周围，旋转
course,课程，一道菜，航线/方向/过程/追猎
slide,滑落/下跌/降低，打滑，幻灯片
Monday,星期一
Tuesday,星期二
Wednesday,星期三
Thursday,星期四
Friday,星期五
Saturday,星期六
Sunday,星期日
pronoun,代词
infinitive,（动词）不定式
sit,坐落，处在（在…中），任职（议会、委员会、法庭等），开会
bright,明亮/鲜亮的，辉煌的，聪明活泼的，机灵乖巧的
right,立刻/马上，右/向右，恰当地，一直，权利，正确/正当
sixty,六十
horse,马，骑兵
november,11月
meter,米/公尺，韵律/格律，计量，仪表/计量器
tired,"adj. ?疲累的, 厌倦的, 疲乏的"
tiredness,n. ?疲劳; 疲倦
correct,"adj. ?正确的, 品行端正的  v.  改正/矫正;/校准"
catch,抓，捕获量，挂钩，赶上/接住，引起，看见
worldwide,adj. ?全世界的
wormhole,n. ?虫孔; 蛀洞
worldly ?,"adj. ?世间的, 世上的, 世俗的"
stomachache,胃痛，腹痛
wise,聪明/有智慧的/博学/博识的，明白的/知道
skirt,裙子，边缘，位于…的边缘，沿…的边缘走，绕开/避开
march,（坚定地向某地）前进;行军，进军/进展/进行/使前进，3月
hurry,匆忙，急忙 仓促做某事，催促，朝某方向迅速移动或处理
clerk,店员/职员/办事员，书记员，教士
conference,会议，讨论，讨论会，举行或参加系列会议
represent,象征/代表/代理，扮演，作为示范
bottom,底部/末端/臀部，尽头，到达底部，建立基础
whale,鲸，巨大的事物
belong,属于，是…的成员，应被放在，适应
polite,礼貌的/有教养的，文雅/上流社会的，应酬/客套的
solution,溶液，解决/溶解/答案，处理问题
east,东部，向东方，来自东方的
west,西方的
proud,自豪的/得意的/光荣的，高尚的，傲慢的，有自尊心的
west,西，西部，西方 向西，朝西;自西方;向西方
labor,努力争取，苦干/劳工/努力，工作
smell,嗅/闻，闻出/发觉/查出，发出…的气味
sheep,羊，绵羊，胆小鬼，易受人摆布的人
upstairs,在楼上，在高空
bird,鸟/禽，<俚>少女，姑娘
pronounce,发音，读 宣布，宣称;演讲，讲述
slice,切成片，划分，薄片，一部分
slipper,拖鞋，（室内）便鞋;
turkey,火鸡，蠢货，失败之作
international,国际的，多国之间的，超越国界的，国际组织
million,百万，无数的
breath,呼吸，呼吸力，微量
capital,首都，资源，大写字母，资本的，极好的
september,九月
sail,航行，起航，驾驶帆船，航行距离
specially,特别地，特意地，格外地
block,块，街区，大厦，障碍物，阻碍/阻止/阻塞/限制
pound,磅/英镑，兽栏，重击声/连续重击，咚咚地走
exercise,练习;运动，训练;运用;典礼
equipment,设备，装备，配件，(工作必需的)知识&素养
sense,感觉/意识/理念/领会/理解，理性，识别力
