英文,中文
tasty,好吃的，吸引人的，美味的
marriage,结婚，婚姻，婚礼
grade,等级，分数，年纪，级别
Thursday,星期四
road,道路，途径
result,结果，效果，成绩，成果
football,足球
room,房间，空间，地方
cause,原因，理由，引起，给…带来
bad,坏的，有缺陷的，邪恶的，腐败的
unhealthy,不健康的
holiday,假期，假日
draw,画，描绘，提取，抽签，抽出，引起，平局
create,创造，创作
wish,希望，但愿，祝愿，请求
exam,考试，试题，检查，调查
art,艺术，技艺，美术，文科
sweet,甜的，和蔼的，温柔的，芳香的
donate,赠送，捐赠
too,太，还，过于，很，非常
him,他
rule,规则，规章，习惯，惯例，控制/统治/管辖
autumn,秋天，秋季
yellow,黄色的，黄的
these,这些
advertisement,广告，公告，宣传活动
whom,谁（who)的宾格
rise,升起，上升，增加，反抗，起源
term,措辞，术语，期限，条款，把…称为
operation,操作，运转，经营，活动，运算
coal,煤，煤块
until,直到，才，到…位置
habit,习惯，习性
tour,旅行，旅游
regular,定期的，有规律的，规则的，正规的
polar,磁极/地极的，正好相反的的，对立的
many,许多，多的
them,她他它们
single,单一的，单个的，独身的，单打，单程票
church,教堂，礼拜，教会
subway,地铁，地下道，地道
pro,赞成/赞成票，正面的，从事某职业的人
pen,钢笔，圆珠笔，（畜生的）围栏
calendar,日历
hold,保持，拿/握，包含/拖住
earthquake,地震
collect,采集，收集，汇集，领取
seventeen,17，17个
poor,贫穷的，可怜的，贫困的，差的
government,政府，内阁，智力，统治，政体
haircut,理发
french,法国人，法语，法国人的
dear,亲爱的，昂贵的
take,携带，需要，话费，吃喝，接受，乘车/船
mirror,镜子，反射，映/照
city,城市，都市
stupid,愚蠢，迟钝，无聊，烦人的
wine,（葡萄）酒
guilty,有罪的，犯罪的，惭愧/内疚的
shape,形状，形体，幻象，状态
dead,死的，无感觉的，呆板的，死者，完全/绝对的
obey,服从，听从
almost,几乎，差不多
seventh,第七，1/7
chance,机会，碰巧，偶然，可能性
microwave,微波炉，微波
doubt,疑虑，怀疑，不相信  ( no doubt 毫无疑问 ）
master,
cheer,使振奋，欢呼，喝彩
across,穿越，穿过，横过，从一边到另一边
cake,饼，蛋糕，糕
oak,橡树，橡木
spot,地点，处所，斑点，污点/少量
taste,滋味，味觉，口味，鉴赏力，兴趣，爱好
circle,圆圈，圈子，阶层，围着
medium,中等的，平均的，媒介，工具，方法/手段
greet,问候，迎接，作出反应
dangerous,危险/不安全的
perfect,丸美/无暇的，十足/最佳的，理想的
lion,狮子
coffee,咖啡
thing,事，事情/事件，物品，东西
go,去/离开，变得/成为，运转/运行
experience,经验，阅历，经历，体验
fry,油煎，油炸
transportation,运输，运输系统，运输工具
serve,为..服务/招待/伺候，符合/适用于/满足，供应
avenue,林荫道，道路，大街
weak,虚弱/无力的，差的/微薄/稀薄的
fish,鱼，（钓/捕）鱼
rapid,迅速/快的
ride,骑车/马，乘车/马
meaning,意义/含义
everyone,每人/各人/人人
france,法国
moment,瞬间/片刻，机会/时机
